Neo Reference ID,Name,Absolute Magnitude,Est Dia in KM(min),Est Dia in KM(max),Est Dia in M(min),Est Dia in M(max),Est Dia in Miles(min),Est Dia in Miles(max),Est Dia in Feet(min),Est Dia in Feet(max),Close Approach Date,Epoch Date Close Approach,Relative Velocity km per sec,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles),Orbiting Body,Orbit ID,Orbit Determination Date,Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,Equinox,Hazardous,prediccion,probabilidad
2230599,2230599,17.7,0.7665755734999999,1.7141150923,766.5755735311,1714.1150923063,0.4763278307,1.0651014090000002,2515.0118046636,5623.7373594423,2009-12-08,1260259200000,38.153257832,137351.72819502858,85345.0224442943,0.46744253659999996,181.83514404299999,69928408.0,43451500.0,Earth,27,2017-04-06 09:25:08,0,0.333397,3.093,2458000.5,0.8171182020991987,2.1700652326773806,20.961607122842,128.5943283580019,1167.636360125141,0.39686543131406,182.06495569249168,3.9432650340407016,2457479.7044441137,160.569169068186,0.3083151675419026,J2000,False,0.0,0.0
2194386,2194386,17.0,1.0581688593,2.3661375011000003,1058.1688593311999,2366.137501138,0.6575154422999999,1.4702492252000001,3471.6827204482,7762.9185592335,2002-05-08,1020841200000,15.5513835918,55984.9809306427,34786.8899565985,0.1243785126,48.383239746099996,18606760.0,11561705.0,Earth,214,2017-09-25 06:52:00,0,0.121228,3.281,2458000.5,0.6108900037029229,2.3057619328374885,13.662397647750963,248.6931894363467,1278.851520582208,0.8971950171483362,279.9719997189859,3.714328848526639,2457467.331408056,150.0883331728962,0.2815025780601229,J2000,False,0.0,0.0
2085236,2085236,18.6,0.5064714588,1.1325046106,506.4714588346,1132.5046106177,0.3147066768,0.7037055224,1661.651821003,3715.566426699,2015-06-08,1433746800000,16.0088706989,57631.934515918,35810.2428662936,0.249707204,97.136100769,37355668.0,23211736.0,Earth,78,2017-04-06 09:28:42,0,0.00118835,5.119,2458000.5,0.3111886921828933,1.233976567175179,12.80492879466548,54.398579779726155,500.6783310112152,0.8499770130515989,293.84979142341734,1.617976121298759,2458247.0744531346,182.7069205308997,0.7190245267313875,J2000,True,1.0,1.0
3724056,3724056,24.9,0.0278326768,0.06223575730000001,27.8326768072,62.2357573367,0.0172944182,0.0386714948,91.31455937610001,204.1855621004,2004-08-15,1092553200000,14.8460364127,53445.7310857063,33209.0988515601,0.3394706004,132.05406188959998,50784080.0,31555764.0,Earth,5,2017-04-06 08:32:49,7,0.00645601,6.864,2458000.5,0.2251090923285536,0.8562169604506201,5.3259855309421225,272.3288719676772,289.38376746386336,0.6634747376472679,202.5670802522125,1.0489591832539722,2457949.2336734715,63.77647824609498,1.244022783845175,J2000,False,0.0,0.0
3274164,3274164,24.9,0.0278326768,0.06223575730000001,27.8326768072,62.2357573367,0.0172944182,0.0386714948,91.31455937610001,204.1855621004,2005-03-22,1111478400000,14.968573210699999,53886.863558597404,33483.201415062904,0.0495263442,19.2657489777,7409036.0,4603761.5,Earth,10,2017-04-06 09:11:17,2,0.0365077,4.567,2458000.5,0.4666528977940848,1.4207734890888017,11.73849996734711,169.7851298845792,618.5655002153251,0.7577654232965001,91.3135930189728,2.083781554881104,2457833.171568783,97.38376165053188,0.5819917209651727,J2000,False,0.0,0.0
3662198,3662198,22.4,0.08801465210000001,0.1968067451,88.0146520901,196.80674508939998,0.0546897524,0.12229000400000001,288.7619911632,645.6914415591,2014-02-15,1392451200000,9.4092355066,33873.247823622594,21047.5189046281,0.3042536978,118.3546905518,45515704.0,28282148.0,Earth,13,2017-04-06 08:42:27,2,0.305843,4.327,2458000.5,0.1845590026339274,1.577495219836958,18.19707388487211,329.40398634253313,723.6865559427893,1.286354275404061,163.74400400067842,1.868636164269855,2458133.2758800713,293.95024899499464,0.4974529332398703,J2000,False,0.0,0.0
3595927,3595927,24.8,0.0291443905,0.06516883820000001,29.144390453499998,65.1688382168,0.018109478999999998,0.0404940262,95.6180819754,213.80853117520002,2012-01-15,1326614400000,10.7089577742,38552.2479872838,23954.8676452098,0.0207360832,8.066336631799999,3102074.0,1927539.375,Earth,6,2017-04-06 08:51:25,7,0.014213900000000002,5.412999999999999,2458000.5,0.3046803027609012,1.1456453830565072,12.973607849039713,117.4664029398696,447.89244897759863,0.7965898008902219,276.3048908713393,1.494700965222792,2458120.352179974,263.6670859505177,0.8037643876822881,J2000,False,0.0,0.0
3175328,3175328,21.4,0.13949382289999998,0.3119176705,139.49382293440001,311.91767052259996,0.0866774163,0.19381659489999997,457.65691403610003,1023.3519701574,2008-08-08,1218178800000,15.988117468299999,57557.2228859567,35763.8199648879,0.3622023758,140.8967285156,54184704.0,33668816.0,Earth,25,2017-04-06 09:13:10,2,0.07814639999999999,5.845,2458000.5,0.3913111970318248,1.027208608418418,17.70798528407041,153.2475230271902,380.26504203055674,0.6252503782568122,126.0857325811944,1.429166838580025,2458088.091445735,277.0764677808798,0.9467081119990822,J2000,False,0.0,0.0
3781300,3781300,21.553,0.1300034796,0.2906966177,130.0034796187,290.69661773900003,0.0807803921,0.18063044809999998,426.5206160723,953.7290913427,1997-07-22,869554800000,12.899991825999999,46439.97057363849,28855.9917156033,0.2692808862,104.75025939940001,40283848.0,25031222.0,Earth,2,2017-09-20 06:19:13,5,0.240279,5.816,2458000.5,0.3980760445356228,1.029245673947589,21.27331031091566,142.7486732491324,381.3967625745072,0.6195276272071317,21.20882237682118,1.4389637206880468,2458173.7916734074,196.430173120468,0.9438989402267742,J2000,False,0.0,0.0
2250458,2250458,18.0,0.6676594135,1.4929318344,667.6594134951999,1492.931834393,0.4148641974,0.9276645469,2190.4837101717003,4898.07047955,2003-01-22,1043222400000,31.8984817535,114834.53431265689,71353.7138344395,0.4005420137,155.8108520508,59920232.0,37232708.0,Earth,102,2017-09-27 06:52:17,0,0.0888206,5.735,2458000.5,0.4928912402118253,1.0185504123494828,35.556632931090775,337.7784743606296,375.46738699510354,0.5165158363882801,254.4065266425643,1.5205849883106852,2457959.29111677,39.511282408720994,0.9588049787256084,J2000,False,0.0,0.0
3152308,3152308,20.6,0.20162991940000002,0.4508582062,201.62991944279997,450.8582061718,0.12528698470000002,0.2801502144,661.5155049046,1479.1936371367,2003-10-08,1065596400000,26.952935645900002,97030.56832537788,60291.021746399405,0.3022611919,117.5796051025,45217632.0,28096934.0,Earth,28,2016-04-25 11:28:32,0,0.208414,4.3069999999999995,2457600.5,0.3177174602816489,1.384741474161663,55.832202412397024,21.139391042576808,595.1843136886562,0.9447849298443528,273.06025495016,1.824698018478972,2457591.911024886,5.195081539860796,0.6048546504340802,J2000,False,0.0,0.0
3613389,3613389,23.0,0.06676594129999999,0.1492931834,66.7659413495,149.2931834393,0.0414864197,0.0927664547,219.04837101720003,489.807047955,2002-10-22,1035270000000,15.366383873299998,55318.981943995896,34373.0640862568,0.289672551,112.6826248169,43334396.0,26926746.0,Earth,8,2017-04-06 08:48:22,6,0.00548085,6.36,2458000.5,0.2286203426609585,0.9398655832203742,5.455717339594915,221.06545972090692,332.8105207456754,0.7249931915292905,292.95068432386216,1.1547379749114581,2457975.939220681,26.56731083850574,1.081696573754356,J2000,False,0.0,0.0
3781897,3781897,25.664,0.0195773983,0.043776393399999995,19.5773983009,43.7763934234,0.0121648276,0.027201381400000002,64.23031144149999,143.6233425991,1998-03-08,889344000000,7.9463896059,28607.0025813457,17775.278909503402,0.0650704121,25.312391281100002,9734395.0,6048673.0,Earth,1,2017-09-27 15:42:08,6,0.0177601,6.047999999999999,2458000.5,0.1540095688212493,1.002518316473757,8.6199350439697,182.719676573434,366.63751531935895,0.8481209028182292,71.26185003829899,1.156915730129285,2457928.042239851,71.1460026964923,0.9818962461777068,J2000,False,0.0,0.0
3478254,3478254,24.0,0.042126461100000005,0.0941976306,42.1264610556,94.1976305719,0.026176161200000003,0.058531675899999996,138.21017848969998,309.0473542854,2005-05-15,1116140400000,5.994517864700001,21580.2643129277,13409.1370115522,0.45658287979999995,177.61073303220002,68303824.0,42442028.0,Earth,33,2017-04-06 08:59:02,0,0.00514136,4.6530000000000005,2458000.5,0.4267840955022945,1.400731543121683,0.4121431865261659,341.8848718549262,605.5232034913353,0.8029215984489625,155.0247334237937,1.998541487794404,2458243.185951429,215.71660671226002,0.5945271757123531,J2000,False,0.0,0.0
